Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_200,RSI,MACD,Signal_Line,MACD_Histogram,BB_Upper,BB_Lower,BB_Middle,Volume_MA,Signal,SMA_Cross,RSI_Signal,MACD_Signal
2022-03-23 00:00:00+05:30,473.5423182997433,477.24705681748867,464.70793960437373,466.0853271484375,15800195,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0,,,
2022-03-24 00:00:00+05:30,460.71817521299806,470.0275205595676,459.2932736401744,462.7130432128906,18174877,0.0,0.0,,,,,-0.2690141031205826,-0.053802820624116524,-0.2152112824964661,,,,,0,,,-1.0
2022-03-25 00:00:00+05:30,467.1302625873657,468.6026493788994,462.23810600131975,466.1328430175781,11541196,0.0,0.0,,,,,-0.20390990772006035,-0.0838242380433053,-0.12008566967675505,,,,,0,,,-1.0
2022-03-28 00:00:00+05:30,466.3703178175393,473.63731037502424,457.82090798762795,472.5923767089844,16738684,0.0,0.0,,,,,0.364711849332366,0.005882979431828962,0.35882886990053703,,,,,0,,,1.0
2022-03-29 00:00:00+05:30,474.96723213581123,476.29713458785164,467.08278767823646,470.2175598144531,14301429,0.0,0.0,,,,,0.6166128827945272,0.12802896010436862,0.4885839226901586,,,,,0,,,1.0
2022-03-30 00:00:00+05:30,474.30225398398363,475.34718766523565,467.65271290835966,469.5525817871094,16461225,0.0,0.0,,,,,0.7538976346614277,0.25320269501578047,0.5006949396456473,,,,,0,,,1.0
2022-03-31 00:00:00+05:30,469.5525386547115,472.63982529908617,467.557699707026,468.840087890625,10240982,0.0,0.0,,,,,0.7960283672061337,0.3617678294538511,0.43426053775228257,,,,,0,,,1.0
2022-04-01 00:00:00+05:30,466.4177997463234,484.2290701032349,466.4177997463234,482.7566833496094,18527226,0.0,0.0,,,,,1.9301209906606687,0.6754384616952146,1.254682528965454,,,,,0,,,1.0
2022-04-04 00:00:00+05:30,483.80159789658785,489.1212655394347,480.66682584564774,486.7464294433594,16257176,0.0,0.0,,,,,3.11492976021151,1.1633367213984738,1.951593038813036,,,,,0,,,1.0
2022-04-05 00:00:00+05:30,488.64627690138985,490.54614569497323,482.28170484700684,483.8965759277344,13602384,0.0,0.0,,,,,3.780362222172016,1.6867418215531824,2.0936204006188337,,,,,0,,,1.0
2022-04-06 00:00:00+05:30,481.61675516239603,489.4062290705665,480.6668207340678,488.21881103515625,13738275,0.0,0.0,,,,,4.603425074474785,2.270078472137503,2.333346602337282,,,,,0,,,1.0
2022-04-07 00:00:00+05:30,484.5140299299537,493.8709185731526,484.5140299299537,489.1687316894531,19620958,0.0,0.0,,,,,5.271591349134781,2.870381047536959,2.4012103015978217,,,,,0,,,1.0
2022-04-08 00:00:00+05:30,493.49090846949457,493.49090846949457,486.698854487445,490.2611083984375,13572638,0.0,0.0,,,,,5.822149491546554,3.4607347363388783,2.361414755207676,,,,,0,,,1.0
2022-04-11 00:00:00+05:30,487.79134541913925,495.86578833260114,487.5063766768967,489.12127685546875,12370288,0.0,0.0,,,,75.44595361731793,6.096222448794208,3.9878322788299445,2.1083901699642635,,,,,0,,-1.0,1.0
